Giá trị,6.2,6.9,7.3,8.6,9.6,10.4,11.2,12.4,13.3,6.2-6.9,6.2-7.3,6.9-7.3,6.2-8.6,6.9-8.6,7.3-8.6,6.2-9.6,6.9-9.6,7.3-9.6,8.6-9.6,6.2-10.4,6.9-10.4,7.3-10.4,8.6-10.4,9.6-10.4,6.2-11.2,6.9-11.2,7.3-11.2,8.6-11.2,9.6-11.2,10.4-11.2,6.2-12.4,6.9-12.4,7.3-12.4,8.6-12.4,9.6-12.4,10.4-12.4,11.2-12.4,6.2-13.3,6.9-13.3,7.3-13.3,8.6-13.3,9.6-13.3,10.4-13.3,11.2-13.3,12.4-13.3
0.0,-3645.0,-2712.0,-1859.0,1396.0,-868.0,1614.0,1413.0,916.0,-519.0,-933.0,-1786.0,-853.0,-5041.0,-4108.0,-3255.0,-2777.0,-1844.0,-991.0,2264.0,-5259.0,-4326.0,-3473.0,-218.0,-2482.0,-5058.0,-4125.0,-3272.0,-17.0,-2281.0,201.0,-4561.0,-3628.0,-2775.0,480.0,-1784.0,698.0,497.0,-3126.0,-2193.0,-1340.0,1915.0,-349.0,2133.0,1932.0,1435.0
0.0,-3629.0,-2702.0,-1856.0,1459.0,-822.0,1688.0,1470.0,968.0,-476.0,-927.0,-1773.0,-846.0,-5088.0,-4161.0,-3315.0,-2807.0,-1880.0,-1034.0,2281.0,-5317.0,-4390.0,-3544.0,-229.0,-2510.0,-5099.0,-4172.0,-3326.0,-11.0,-2292.0,218.0,-4597.0,-3670.0,-2824.0,491.0,-1790.0,720.0,502.0,-3153.0,-2226.0,-1380.0,1935.0,-346.0,2164.0,1946.0,1444.0
0.0,-3614.0,-2691.0,-1856.0,1474.0,-811.0,1701.0,1484.0,990.0,-454.0,-923.0,-1758.0,-835.0,-5088.0,-4165.0,-3330.0,-2803.0,-1880.0,-1045.0,2285.0,-5315.0,-4392.0,-3557.0,-227.0,-2512.0,-5098.0,-4175.0,-3340.0,-10.0,-2295.0,217.0,-4604.0,-3681.0,-2846.0,484.0,-1801.0,711.0,494.0,-3160.0,-2237.0,-1402.0,1928.0,-357.0,2155.0,1938.0,1444.0
0.0,-3614.0,-2681.0,-1848.0,1456.0,-814.0,1674.0,1444.0,922.0,-483.0,-933.0,-1766.0,-833.0,-5070.0,-4137.0,-3304.0,-2800.0,-1867.0,-1034.0,2270.0,-5288.0,-4355.0,-3522.0,-218.0,-2488.0,-5058.0,-4125.0,-3292.0,12.0,-2258.0,230.0,-4536.0,-3603.0,-2770.0,534.0,-1736.0,752.0,522.0,-3131.0,-2198.0,-1365.0,1939.0,-331.0,2157.0,1927.0,1405.0
0.2,-3629.0,-2681.0,-1863.0,1420.0,-840.0,1631.0,1401.0,888.0,-578.0,-948.0,-1766.0,-818.0,-5049.0,-4101.0,-3283.0,-2789.0,-1841.0,-1023.0,2260.0,-5260.0,-4312.0,-3494.0,-211.0,-2471.0,-5030.0,-4082.0,-3264.0,19.0,-2241.0,230.0,-4517.0,-3569.0,-2751.0,532.0,-1728.0,743.0,513.0,-3051.0,-2103.0,-1285.0,1998.0,-262.0,2209.0,1979.0,1466.0
0.2,-3568.0,-2639.0,-1808.0,1511.0,-782.0,1725.0,1501.0,993.0,-440.0,-929.0,-1760.0,-831.0,-5079.0,-4150.0,-3319.0,-2786.0,-1857.0,-1026.0,2293.0,-5293.0,-4364.0,-3533.0,-214.0,-2507.0,-5069.0,-4140.0,-3309.0,10.0,-2283.0,224.0,-4561.0,-3632.0,-2801.0,518.0,-1775.0,732.0,508.0,-3128.0,-2199.0,-1368.0,1951.0,-342.0,2165.0,1941.0,1433.0
0.2,-3568.0,-2650.0,-1824.0,1508.0,-775.0,1731.0,1498.0,984.0,-461.0,-918.0,-1744.0,-826.0,-5076.0,-4158.0,-3332.0,-2793.0,-1875.0,-1049.0,2283.0,-5299.0,-4381.0,-3555.0,-223.0,-2506.0,-5066.0,-4148.0,-3322.0,10.0,-2273.0,233.0,-4552.0,-3634.0,-2808.0,524.0,-1759.0,747.0,514.0,-3107.0,-2189.0,-1363.0,1969.0,-314.0,2192.0,1959.0,1445.0
0.0,-3598.0,-2681.0,-1852.0,1480.0,-797.0,1693.0,1453.0,925.0,-483.0,-917.0,-1746.0,-829.0,-5078.0,-4161.0,-3332.0,-2801.0,-1884.0,-1055.0,2277.0,-5291.0,-4374.0,-3545.0,-213.0,-2490.0,-5051.0,-4134.0,-3305.0,27.0,-2250.0,240.0,-4523.0,-3606.0,-2777.0,555.0,-1722.0,768.0,528.0,-3115.0,-2198.0,-1369.0,1963.0,-314.0,2176.0,1936.0,1408.0
0.0,-3583.0,-2691.0,-1880.0,1469.0,-793.0,1658.0,1413.0,876.0,-571.0,-892.0,-1703.0,-811.0,-5052.0,-4160.0,-3349.0,-2790.0,-1898.0,-1087.0,2262.0,-5241.0,-4349.0,-3538.0,-189.0,-2451.0,-4996.0,-4104.0,-3293.0,56.0,-2206.0,245.0,-4459.0,-3567.0,-2756.0,593.0,-1669.0,782.0,537.0,-3012.0,-2120.0,-1309.0,2040.0,-222.0,2229.0,1984.0,1447.0
0.0,-3552.0,-2670.0,-1856.0,1493.0,-775.0,1690.0,1430.0,891.0,-541.0,-882.0,-1696.0,-814.0,-5045.0,-4163.0,-3349.0,-2777.0,-1895.0,-1081.0,2268.0,-5242.0,-4360.0,-3546.0,-197.0,-2465.0,-4982.0,-4100.0,-3286.0,63.0,-2205.0,260.0,-4443.0,-3561.0,-2747.0,602.0,-1666.0,799.0,539.0,-3011.0,-2129.0,-1315.0,2034.0,-234.0,2231.0,1971.0,1432.0
0.0,-3537.0,-2619.0,-1812.0,1573.0,-729.0,1768.0,1512.0,972.0,-469.0,-918.0,-1725.0,-807.0,-5110.0,-4192.0,-3385.0,-2808.0,-1890.0,-1083.0,2302.0,-5305.0,-4387.0,-3580.0,-195.0,-2497.0,-5049.0,-4131.0,-3324.0,61.0,-2241.0,256.0,-4509.0,-3591.0,-2784.0,601.0,-1701.0,796.0,540.0,-3068.0,-2150.0,-1343.0,2042.0,-260.0,2237.0,1981.0,1441.0
0.2,-3568.0,-2660.0,-1863.0,1529.0,-740.0,1723.0,1455.0,907.0,-563.0,-908.0,-1705.0,-797.0,-5097.0,-4189.0,-3392.0,-2828.0,-1920.0,-1123.0,2269.0,-5291.0,-4383.0,-3586.0,-194.0,-2463.0,-5023.0,-4115.0,-3318.0,74.0,-2195.0,268.0,-4475.0,-3567.0,-2770.0,622.0,-1647.0,816.0,548.0,-3005.0,-2097.0,-1300.0,2092.0,-177.0,2286.0,2018.0,1470.0
0.0,-3552.0,-2650.0,-1852.0,1590.0,-704.0,1787.0,1529.0,978.0,-483.0,-902.0,-1700.0,-798.0,-5142.0,-4240.0,-3442.0,-2848.0,-1946.0,-1148.0,2294.0,-5339.0,-4437.0,-3639.0,-197.0,-2491.0,-5081.0,-4179.0,-3381.0,61.0,-2233.0,258.0,-4530.0,-3628.0,-2830.0,612.0,-1682.0,809.0,551.0,-3069.0,-2167.0,-1369.0,2073.0,-221.0,2270.0,2012.0,1461.0
0.0,-3583.0,-2691.0,-1916.0,1493.0,-761.0,1682.0,1395.0,826.0,-622.0,-892.0,-1667.0,-775.0,-5076.0,-4184.0,-3409.0,-2822.0,-1930.0,-1155.0,2254.0,-5265.0,-4373.0,-3598.0,-189.0,-2443.0,-4978.0,-4086.0,-3311.0,98.0,-2156.0,287.0,-4409.0,-3517.0,-2742.0,667.0,-1587.0,856.0,569.0,-2961.0,-2069.0,-1294.0,2115.0,-139.0,2304.0,2017.0,1448.0
0.0,-3629.0,-2744.0,-1989.0,1406.0,-804.0,1568.0,1239.0,659.0,-785.0,-885.0,-1640.0,-755.0,-5035.0,-4150.0,-3395.0,-2825.0,-1940.0,-1185.0,2210.0,-5197.0,-4312.0,-3557.0,-162.0,-2372.0,-4868.0,-3983.0,-3228.0,167.0,-2043.0,329.0,-4288.0,-3403.0,-2648.0,747.0,-1463.0,909.0,580.0,-2844.0,-1959.0,-1204.0,2191.0,-19.0,2353.0,2024.0,1444.0
0.0,-3568.0,-2670.0,-1900.0,1518.0,-729.0,1698.0,1393.0,816.0,-659.0,-898.0,-1668.0,-770.0,-5086.0,-4188.0,-3418.0,-2839.0,-1941.0,-1171.0,2247.0,-5266.0,-4368.0,-3598.0,-180.0,-2427.0,-4961.0,-4063.0,-3293.0,125.0,-2122.0,305.0,-4384.0,-3486.0,-2716.0,702.0,-1545.0,882.0,577.0,-2909.0,-2011.0,-1241.0,2177.0,-70.0,2357.0,2052.0,1475.0
0.0,-3522.0,-2639.0,-1871.0,1603.0,-683.0,1787.0,1504.0,916.0,-534.0,-883.0,-1651.0,-768.0,-5125.0,-4242.0,-3474.0,-2839.0,-1956.0,-1188.0,2286.0,-5309.0,-4426.0,-3658.0,-184.0,-2470.0,-5026.0,-4143.0,-3375.0,99.0,-2187.0,283.0,-4438.0,-3555.0,-2787.0,687.0,-1599.0,871.0,588.0,-2988.0,-2105.0,-1337.0,2137.0,-149.0,2321.0,2038.0,1450.0
0.0,-3629.0,-2765.0,-1993.0,1451.0,-761.0,1625.0,1300.0,713.0,-733.0,-864.0,-1636.0,-772.0,-5080.0,-4216.0,-3444.0,-2868.0,-2004.0,-1232.0,2212.0,-5254.0,-4390.0,-3618.0,-174.0,-2386.0,-4929.0,-4065.0,-3293.0,151.0,-2061.0,325.0,-4342.0,-3478.0,-2706.0,738.0,-1474.0,912.0,587.0,-2896.0,-2032.0,-1260.0,2184.0,-28.0,2358.0,2033.0,1446.0
0.0,-3552.0,-2619.0,-1788.0,1657.0,-645.0,1886.0,1662.0,1128.0,-324.0,-933.0,-1764.0,-831.0,-5209.0,-4276.0,-3445.0,-2907.0,-1974.0,-1143.0,2302.0,-5438.0,-4505.0,-3674.0,-229.0,-2531.0,-5214.0,-4281.0,-3450.0,-5.0,-2307.0,224.0,-4680.0,-3747.0,-2916.0,529.0,-1773.0,758.0,534.0,-3228.0,-2295.0,-1464.0,1981.0,-321.0,2210.0,1986.0,1452.0
0.0,-3614.0,-2702.0,-1871.0,1590.0,-680.0,1827.0,1560.0,984.0,-461.0,-912.0,-1743.0,-831.0,-5204.0,-4292.0,-3461.0,-2934.0,-2022.0,-1191.0,2270.0,-5441.0,-4529.0,-3698.0,-237.0,-2507.0,-5174.0,-4262.0,-3431.0,30.0,-2240.0,267.0,-4598.0,-3686.0,-2855.0,606.0,-1664.0,843.0,576.0,-3153.0,-2241.0,-1410.0,2051.0,-219.0,2288.0,2021.0,1445.0
0.0,-3614.0,-2681.0,-1852.0,1593.0,-683.0,1793.0,1538.0,1002.0,-454.0,-933.0,-1762.0,-829.0,-5207.0,-4274.0,-3445.0,-2931.0,-1998.0,-1169.0,2276.0,-5407.0,-4474.0,-3645.0,-200.0,-2476.0,-5152.0,-4219.0,-3390.0,55.0,-2221.0,255.0,-4616.0,-3683.0,-2854.0,591.0,-1685.0,791.0,536.0,-3160.0,-2227.0,-1398.0,2047.0,-229.0,2247.0,1992.0,1456.0
0.0,-3645.0,-2712.0,-1867.0,1414.0,-772.0,1671.0,1418.0,925.0,-469.0,-933.0,-1778.0,-845.0,-5059.0,-4126.0,-3281.0,-2873.0,-1940.0,-1095.0,2186.0,-5316.0,-4383.0,-3538.0,-257.0,-2443.0,-5063.0,-4130.0,-3285.0,-4.0,-2190.0,253.0,-4570.0,-3637.0,-2792.0,489.0,-1697.0,746.0,493.0,-3176.0,-2243.0,-1398.0,1883.0,-303.0,2140.0,1887.0,1394.0
